====================================================================================================
TRADE LOGBOOK - ALL TRADES
====================================================================================================

#   TIME                SYMBOL     SIDE   LAYER  ENTRY          EXIT           STATUS   P&L       
----------------------------------------------------------------------------------------------------
27  2026-03-15T01:41:57 DOTUSDT    SHORT  L1     $1.4069        $1.3929        LOSS     $-3.68
28  2026-03-15T01:36:06 NEARUSDT   SHORT  L2     $1.3302        $1.3701        LOSS     $-75.00
29  2026-03-15T00:52:11 AVAXUSDT   LONG   L1     $9.6723        $9.7700        WIN      $25.25
30  2026-03-15T00:48:06 NEARUSDT   LONG   L1     $1.3236        $1.3370        WIN      $25.25
31  2026-03-15T00:29:12 HYPEUSDT   LONG   L3     $37.6767       $38.0540       WIN      $25.03
32  2026-03-14T23:57:38 AVAXUSDT   SHORT  L2     $9.7114        $9.6142        WIN      $5.50
33  2026-03-14T23:46:24 LTCUSDT    SHORT  L1     $54.8935       $54.3446       LOSS     $-7.13
34  2026-03-14T23:46:00 APTUSDT    SHORT  L1     $0.9151        $0.9059        LOSS     $-5.30
35  2026-03-14T23:45:23 UNIUSDT    SHORT  L1     $3.9440        $3.9046        WIN      $0.67
36  2026-03-14T23:16:31 DOGEUSDT   LONG   L1     $0.0954        $0.0964        WIN      $25.25
37  2026-03-14T23:06:59 DOGEUSDT   SHORT  L2     $0.0958        $0.0949        WIN      $8.05
38  2026-03-14T23:06:55 BTCUSDT    SHORT  L1     $70996.6370    $70286.6706    LOSS     $-13.60
39  2026-03-14T23:06:12 BNBUSDT    SHORT  L1     $656.6010      $650.0350      LOSS     $-6.47
40  2026-03-14T23:04:22 SOLUSDT    LONG   L1     $87.7734       $88.6511       WIN      $9.30
41  2026-03-14T23:03:08 NEARUSDT   SHORT  L1     $1.3170        $1.3566        LOSS     $-75.00
42  2026-03-14T23:02:50 ADAUSDT    SHORT  L1     $0.2611        $0.2585        LOSS     $-24.08
43  2026-03-14T23:02:13 XRPUSDT    SHORT  L1     $1.3978        $1.3839        LOSS     $-16.56
44  2026-03-14T22:48:45 ETHUSDT    LONG   L1     $2083.7520     $2105.7000     WIN      $26.33
45  2026-03-14T22:03:32 SOLUSDT    SHORT  L1     $87.3246       $86.4514       LOSS     $-22.20
46  2026-03-14T22:03:15 LINKUSDT   SHORT  L2     $9.1013        $9.0103        LOSS     $-32.60
47  2026-03-14T22:03:15 AVAXUSDT   SHORT  L1     $9.6152        $9.5190        LOSS     $-19.45
48  2026-03-14T21:40:30 HYPEUSDT   LONG   L3     $37.6767       $38.0610       WIN      $25.50
49  2026-03-14T21:00:04 BTCUSDT    LONG   L1     $70745.2020    $71508.4000    WIN      $26.97
50  2026-03-14T20:47:45 DOGEUSDT   SHORT  L1     $0.0949        $0.0940        LOSS     $-16.87
51  2026-03-14T20:41:25 ETHUSDT    SHORT  L1     $2081.1050     $2060.2940     LOSS     $-27.26
52  2026-03-14T20:12:25 ATOMUSDT   SHORT  L1     $1.8645        $1.8458        WIN      $22.07
53  2026-03-14T19:23:18 ATOMUSDT   LONG   L1     $1.8701        $1.8888        LOSS     $-29.56
54  2026-03-14T18:35:30 LINKUSDT   SHORT  L1     $9.0112        $8.9211        LOSS     $-57.92
55  2026-03-14T17:51:10 HYPEUSDT   LONG   L2     $38.0573       $38.4379       LOSS     $-37.72
56  2026-03-14T17:30:17 BNBUSDT    LONG   L1     $653.9940      $660.7000      WIN      $25.63
57  2026-03-14T17:26:17 XRPUSDT    LONG   L1     $1.3915        $1.4055        WIN      $25.07
58  2026-03-14T17:11:19 ARBUSDT    SHORT  L1     $0.1007        $0.0997        LOSS     $-34.83
59  2026-03-14T16:26:42 HYPEUSDT   LONG   L1     $38.4417       $38.8261       LOSS     $-62.35
60  2026-03-14T14:44:26 HYPEUSDT   LONG   L2     $37.5692       $37.9460       WIN      $0.50
61  2026-03-14T14:10:05 HYPEUSDT   LONG   L1     $37.9487       $38.3990       WIN      $0.59


Total trades: 61
Closed: 17 | Open: 44
Net P&L: $-306.98
